Language	Model	Directory	Loss	Total	Gold
English	1511957	manual_output_funchead_two_coarse_final	0.810413347077	-1.29451570569	-2.10492905277
English	2044700	manual_output_funchead_two_coarse_final	0.781219544415	-1.3910645431	-2.17228408752
English	2138590	manual_output_funchead_RANDOM	1.94439879751	-1.4919592371	-3.43635803461
English	2607779	manual_output_funchead_two_coarse_final	0.78265330415	-1.36972085409	-2.15237415824
English	2847244	manual_output_funchead_RANDOM	1.81764301353	-1.45656318889	-3.27420620241
English	37277	manual_output_funchead_RANDOM	1.0509535003	-1.37375517678	-2.42470867708
English	3848887	manual_output_funchead_RANDOM	1.0114436592	-1.34098336115	-2.35242702035
English	4143283	manual_output_funchead_two_coarse_parser_final	1.49725043305	-1.5650956316	-3.06234606465
English	4147103	manual_output_funchead_RANDOM	1.9671599825	-1.53697038161	-3.50413036411
English	4460339	manual_output_funchead_two_coarse_parser_final	1.60110821359	-1.74725871836	-3.34836693195
English	4872485	manual_output_funchead_two_coarse_parser_final	1.21611434322	-1.51412031762	-2.73023466083
English	5095599	manual_output_funchead_two_coarse_final	0.781289001091	-1.40762986135	-2.18891886245
English	5674604	manual_output_funchead_RANDOM	2.5450318763	-1.73160599547	-4.27663787177
English	591473	manual_output_funchead_RANDOM	2.25678964081	-1.69012554686	-3.94691518767
English	5953198	manual_output_funchead_RANDOM	1.05824323443	-1.5400961789	-2.59833941333
English	6285151	manual_output_funchead_RANDOM	1.71627865543	-1.58416158244	-3.30044023786
English	6461551	manual_output_funchead_two_coarse_final	2.49427933399	-1.60338600951	-4.0976653435
English	6501730	manual_output_funchead_two_coarse_final	0.660446967676	-1.38617035308	-2.04661732075
English	750969	manual_output_funchead_RANDOM	1.41069987762	-1.46597036018	-2.8766702378
Japanese	1309780	manual_output_funchead_RANDOM	3.65441623227	-1.08517785334	-4.7395940856
Japanese	1441803	manual_output_funchead_RANDOM	3.35472572662	-0.864665693225	-4.21939141985
Japanese	1634318	manual_output_funchead_RANDOM	1.76145201721	-0.80946274333	-2.57091476053
Japanese	2491061	manual_output_funchead_RANDOM	1.78859451035	-0.875280382591	-2.66387489294
Japanese	3386929	manual_output_funchead_two_coarse_final	0.941325139805	-0.68421678798	-1.62554192778
Japanese	3792904	manual_output_funchead_RANDOM	2.76967278087	-0.952340468142	-3.72201324901
Japanese	7123376	manual_output_funchead_RANDOM	1.14597625408	-0.82356256852	-1.9695388226
Japanese	7449510	manual_output_funchead_RANDOM	0.972330694754	-0.840768650822	-1.81309934558
Japanese	8416264	manual_output_funchead_RANDOM	1.84752189062	-0.961119642476	-2.8086415331
Japanese	9439753	manual_output_funchead_RANDOM	1.50446409492	-0.928803163654	-2.43326725858
