"","Language","Type","Model","Pars"
"1","Afrikaans","manual_output_funchead_two_coarse_parser_best_balanced","5112822742",0.715402926065759
"2","Ancient_Greek","manual_output_funchead_two_coarse_parser_best_balanced","1196562",0.865312556072372
"3","Arabic","manual_output_funchead_two_coarse_parser_best_balanced","5735612693",0.872529517200541
"4","Basque","manual_output_funchead_two_coarse_parser_best_balanced","9663209710",1.09818074354028
"5","Belarusian","manual_output_funchead_two_coarse_parser_best_balanced","3293490198",1.7958786042182
"6","Bulgarian","manual_output_funchead_two_coarse_parser_best_balanced","4754721",0.481757011529327
"7","Catalan","manual_output_funchead_two_coarse_parser_best_balanced","9709466151",0.543822471152127
"8","Chinese","manual_output_funchead_two_coarse_parser_best_balanced","4334711614",1.18215067546449
"9","Coptic","manual_output_funchead_two_coarse_parser_best_balanced","136183421",0.836411939012197
"10","Croatian","manual_output_funchead_two_coarse_parser_best_balanced","9809338784",0.830234895724186
"11","Czech","manual_output_funchead_two_coarse_parser_best_balanced","402572728",0.612478863438453
"12","Danish","manual_output_funchead_two_coarse_parser_best_balanced","2172427738",0.732905442696316
"13","Dutch","manual_output_funchead_two_coarse_parser_best_balanced","7588115277",0.624399771868684
"14","English","manual_output_funchead_two_coarse_parser_best_balanced","9187031691",0.666797146332262
"15","Estonian","manual_output_funchead_two_coarse_parser_best_balanced","1396102380",0.919218586577054
"16","Finnish","manual_output_funchead_two_coarse_parser_best_balanced","8612658986",0.951576873774351
"17","French","manual_output_funchead_two_coarse_parser_best_balanced","6711492589",0.524017610042249
"18","Galician","manual_output_funchead_two_coarse_parser_best_balanced","5269691",1.00815978028237
"19","German","manual_output_funchead_two_coarse_parser_best_balanced","1374342029",0.526480569192256
"20","Gothic","manual_output_funchead_two_coarse_parser_best_balanced","9351871",0.928987612277829
"21","Greek","manual_output_funchead_two_coarse_parser_best_balanced","5980328342",0.720138555648529
"22","Hebrew","manual_output_funchead_two_coarse_parser_best_balanced","3053545950",0.826855769722427
"23","Hindi","manual_output_funchead_two_coarse_parser_best_balanced","9749585504",0.5007098200652
"24","Hungarian","manual_output_funchead_two_coarse_parser_best_balanced","4696208851",1.16247446496154
"25","Indonesian","manual_output_funchead_two_coarse_parser_best_balanced","241325047",0.951558724341117
"26","Irish","manual_output_funchead_two_coarse_parser_best_balanced","5715619308",2.45278694330191
"27","Italian","manual_output_funchead_two_coarse_parser_best_balanced","936402650",0.567371966936592
"28","Japanese","manual_output_funchead_two_coarse_parser_best_balanced","6152468146",0.626202117142226
"29","Korean","manual_output_funchead_two_coarse_parser_best_balanced","4262227409",1.60904446320544
"30","Latin","manual_output_funchead_two_coarse_parser_best_balanced","7604711832",1.17531070960698
"31","Latvian","manual_output_funchead_two_coarse_parser_best_balanced","112566049",1.3528518010572
"32","Lithuanian","manual_output_funchead_two_coarse_parser_best_balanced","4799235779",2.17090727437798
"33","Marathi","manual_output_funchead_two_coarse_parser_best_balanced","5456841289",1.40117761545014
"34","Norwegian","manual_output_funchead_two_coarse_parser_best_balanced","839137900",0.590298894273606
"35","Old_Church_Slavonic","manual_output_funchead_two_coarse_parser_best_balanced","7043806087",0.952598039206892
"36","Persian","manual_output_funchead_two_coarse_parser_best_balanced","3552621256",0.710849773824511
"37","Polish","manual_output_funchead_two_coarse_parser_best_balanced","1460649719",0.460918425244603
"38","Portuguese","manual_output_funchead_two_coarse_parser_best_balanced","8382174320",0.552003961835325
"39","Romanian","manual_output_funchead_two_coarse_parser_best_balanced","2009868706",0.916215735992004
"40","Russian","manual_output_funchead_two_coarse_parser_best_balanced","9125867",0.886566435738394
"41","Serbian","manual_output_funchead_two_coarse_parser_best_balanced","8298185581",0.929938683766481
"42","Slovak","manual_output_funchead_two_coarse_parser_best_balanced","2713340704",0.676619448500544
"43","Slovenian","manual_output_funchead_two_coarse_parser_best_balanced","2436250560",0.816098914870525
"44","Spanish","manual_output_funchead_two_coarse_parser_best_balanced","4303719988",0.597301362795057
"45","Swedish","manual_output_funchead_two_coarse_parser_best_balanced","691847957",0.785076788847407
"46","Tamil","manual_output_funchead_two_coarse_parser_best_balanced","1107378819",1.72033263809566
"47","Telugu","manual_output_funchead_two_coarse_parser_best_balanced","5199296536",0.769040234975502
"48","Turkish","manual_output_funchead_two_coarse_parser_best_balanced","7002253353",1.68039191118868
"49","Ukrainian","manual_output_funchead_two_coarse_parser_best_balanced","2037596885",0.949314846664326
"50","Urdu","manual_output_funchead_two_coarse_parser_best_balanced","3562307529",0.721837394233738
"51","Vietnamese","manual_output_funchead_two_coarse_parser_best_balanced","446385011",1.2692750458977
